DATE,CPIAUCSL
1/1/2012,227.842
2/1/2012,228.329
3/1/2012,228.807
4/1/2012,229.187
5/1/2012,228.713
6/1/2012,228.524
7/1/2012,228.59
8/1/2012,229.918
9/1/2012,231.015
10/1/2012,231.638
11/1/2012,231.249
12/1/2012,231.221
1/1/2013,231.679
2/1/2013,232.937
3/1/2013,232.282
4/1/2013,231.797
5/1/2013,231.893
6/1/2013,232.445
7/1/2013,232.9
8/1/2013,233.456
9/1/2013,233.544
10/1/2013,233.669
11/1/2013,234.1
12/1/2013,234.719
1/1/2014,235.288
2/1/2014,235.547
3/1/2014,236.028
4/1/2014,236.468
5/1/2014,236.918
6/1/2014,237.231
7/1/2014,237.498
8/1/2014,237.46
9/1/2014,237.477
10/1/2014,237.43
11/1/2014,236.983
12/1/2014,236.252
1/1/2015,234.747
2/1/2015,235.342
3/1/2015,235.976
4/1/2015,236.222
5/1/2015,237.001
6/1/2015,237.657
7/1/2015,238.034
8/1/2015,238.033
9/1/2015,237.498
10/1/2015,237.733
11/1/2015,238.017
12/1/2015,237.761
1/1/2016,237.652
2/1/2016,237.336
3/1/2016,238.08
4/1/2016,238.992
5/1/2016,239.557
6/1/2016,240.222
7/1/2016,240.101
8/1/2016,240.545
9/1/2016,241.176
10/1/2016,241.741
11/1/2016,242.026
12/1/2016,242.637
1/1/2017,243.618
2/1/2017,244.006
3/1/2017,243.892
4/1/2017,244.193
5/1/2017,244.004
6/1/2017,244.163
7/1/2017,244.243
8/1/2017,245.183
9/1/2017,246.435
10/1/2017,246.626
11/1/2017,247.284
12/1/2017,247.805
1/1/2018,248.743
2/1/2018,249.439
3/1/2018,249.581
4/1/2018,250.146
5/1/2018,250.779
6/1/2018,251.118
7/1/2018,251.323
8/1/2018,251.749
9/1/2018,252.239
10/1/2018,252.862
11/1/2018,252.657
12/1/2018,252.551
1/1/2019,252.47
2/1/2019,253.135
3/1/2019,254.273
4/1/2019,255.163
5/1/2019,255.325
6/1/2019,255.361
7/1/2019,255.9
8/1/2019,256.179
9/1/2019,256.596
10/1/2019,257.305
11/1/2019,257.788
12/1/2019,258.263
1/1/2020,258.682
2/1/2020,259.007
3/1/2020,258.165
4/1/2020,256.094
5/1/2020,255.944
6/1/2020,257.217
7/1/2020,258.543
8/1/2020,259.58
9/1/2020,260.19
10/1/2020,260.352
11/1/2020,260.721
12/1/2020,261.564
1/1/2021,262.2
2/1/2021,263.346
3/1/2021,265.028
4/1/2021,266.727
5/1/2021,268.599
6/1/2021,270.955
7/1/2021,272.184
8/1/2021,273.092
9/1/2021,274.214
10/1/2021,276.59
11/1/2021,278.524
12/1/2021,280.126
1/1/2022,281.933
2/1/2022,284.182
3/1/2022,287.708
4/1/2022,288.663
5/1/2022,291.474
6/1/2022,295.328
7/1/2022,295.271
8/1/2022,295.62
9/1/2022,296.761
10/1/2022,298.062
