DATE,A939RX0Q048SBEA
1/1/2012,51559
4/1/2012,51702
7/1/2012,51684
10/1/2012,51634
1/1/2013,51998
4/1/2013,51982
7/1/2013,52284
10/1/2013,52544
1/1/2014,52266
4/1/2014,52840
7/1/2014,53340
10/1/2014,53464
1/1/2015,53806
4/1/2015,54021
7/1/2015,54081
10/1/2015,54045
1/1/2016,54267
4/1/2016,54334
7/1/2016,54549
10/1/2016,54714
1/1/2017,54866
4/1/2017,55057
7/1/2017,55413
10/1/2017,55877
1/1/2018,56195
4/1/2018,56512
7/1/2018,56831
10/1/2018,56851
1/1/2019,57100
4/1/2019,57418
7/1/2019,57845
10/1/2019,58017
1/1/2020,57279
4/1/2020,52394
7/1/2020,56484
10/1/2020,57005
1/1/2021,57889
4/1/2021,58864
7/1/2021,59202
10/1/2021,60154
1/1/2022,59877
4/1/2022,59756
7/1/2022,60082
